OTU,Genus,Family,Order,Class,Phylum
264,Otu001031,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
265,Otu001036,Ruminococcus2,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
266,Otu001047,Butyricicoccus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
267,Otu001076,Butyricimonas,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes
268,Otu001078,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria
269,Otu001084,Clostridium_IV,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
270,Otu001087,Enterorhabdus,Coriobacteriaceae,Coriobacteriales,Actinobacteria,Actinobacteria
271,Otu001096,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
272,Otu001131,Porphyromonas,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes
273,Otu001157,Oribacterium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
274,Otu001158,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
275,Otu001160,Clostridium_XlVa,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
276,Otu001164,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
277,Otu001181,Roseburia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
278,Otu001190,Deinococcus,Deinococcaceae,Deinococcales,Deinococci,Deinococcus-Thermus
279,Otu001204,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes
280,Otu001225,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
281,Otu001239,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
282,Otu001256,Scardovia,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria
283,Otu001293,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
